Word,Split
वैद्यस्तमाह,वैद्यः+तम्+आह
स्लैम,स्लैम
दिङ्नाग,दिक्+नाग
सुव्यवच्छेदपरमित्यरुचेराह---न,सुव्यवच्छेदपरम्+इति+अरुचेः+आह---न
स्वागत,सु+आगत
ब्रह्मेति(बृ.3-9-28)||,ब्रह्मा+इति(बृ.3-9-28)||
चौकाऊं,चौका+ऊं
"गौरवज्ञानं प्रतिबन्धकम्,","गौरवज्ञानम्+ प्रतिबन्धकम्,"
गौरवात्तद्वाचकेतरस्यापि,गौरवात्+तद्वाचकेतरस्य+अपि
मरधरा,मर+धरा
विश्वौहः,विश्व+ऊहः
कदेत्यत आह,कदा+इत्यतः+ आह
टॉय,टॉय
रसादिभ्यश्च,रसादिभ्यः+च
कहलवाया,कहलवा+या
प्रतिटन,प्रति+टन
शाणाद्वा,शाणात्+वा
इदं पदमेतदर्थबोधेच्छीयोच्चरितमिति,इदम्+ पदमेतदर्थबोधेच्छीयोच्चरितम्+इति
पैदाकर,पैदा+कर
ललकारोगे,ललकार+ोगे
पायुस्तथा,पायुः+तथा
स्वसरकार,स्व+सर+कार
दुर्गत,दुर्+गत
पिलाती,पिला+ती
भावकृतामिति,भावकृताम्+इति
पश्चभूमि,पश्च+भूमि
भिन्नपदोपस्थाप्यर्थेऽन्वयबोधे,भिन्नपदोपस्थाप्यर्थे+अन्वयबोधे
निघो निमितम्,निघः+निमितम्
नीलधूमत्वं न,नीलधूमत्वम्+ न
तच्चोत्तरेण,तत्+च+उत्तरेण
सर्वं घटमित्यादिप्रयोगवारणाय,सर्वम्+ घटम्+इत्यादिप्रयोगवारणाय
अलसाता,अलसा+ता
धमकायें,धमका+यें
अक्ष्यक्ष,अक्ष्य+क्ष
मिलायेंगी,मिला+येंगी
मिटन,मिटन
पोञ्छाऊं,पोञ्छा+ऊं
प्रकृत्यर्थनिष्ठाविषयतेत्यर्थः,प्रकृत्यर्थनिष्ठाविषयते+इत्यर्थः
झुञ्झलाते,झुञ्झला+ते
कृषमार,कृष+मार
मुखप्रसादाद्यनुमिता,मुखप्रसादादि+अनुमिता
पाठस्तदा,पाठः+तदा
समानविषयकत्वादिति,समानविषयकत्वात्+इति
विलक्षणजातेरप्युपगन्तव्यतया,विलक्षणजातेः+अपि+उपगन्तव्यतया
कस्यायं प्रतिषेधः,कस्य+अयम्+ प्रतिषेधः
कियदिह,कियत्+इह
घटत्वावच्छिन्नप्रकारकाऽभेदसंसर्गकशाब्दबोधापादकत्वसंभवादिति,घटत्वावच्छिन्नप्रकारक+अभेदसंसर्गकशाब्दबोधापादकत्वसंभवात्+इति
वृत्यर्थं दृष्टान्तोपमानेनेति,वृत्यर्थम्+ दृष्टान्तोपमानेन+इति
तिलकचन्द,तिलक+चन्द
स्वसरयू,स्व+सरयू
मडगाव,मडगाव
बतलाऊंगी,बतला+ऊंगी
डालो,डाल+ो
तं,तम्+
मनकण्ठ,मन+कण्ठ
दिखलाऊङ्गी,दिखला+ऊङ्गी
मलोद,मल+उद
शरीरं विना,शरीरम्+ विना
मारेगी,मार+ेगी
भविष्यतीति,भविष्यति+इति
बँटवाऊंगा,बँटवा+ऊंगा
पङ्खनी,पङ्खनी
कण्ठेश्वर,कण्ठ+ईश्वर
समभिव्याहृतकर्माख्यात,समभिव्याहृतकर्म+आख्यात
फिराता,फिरा+ता
शिवस्थल,शिव+स्थल
तन्मया,तत्+मया
पापध्वंसस्यैव,पापध्वंसस्य+एव
क्षमो न,क्षमः+न
प्रकारतानिरूपितगम्यादिनिष्ठविशेष्यताकेच्छारूपैकैव,प्रकारतानिरूपितगम्यादिनिष्ठविशेष्यताक+इच्छारूपैकैव
तस्मात्सर्वगतम्ब्रह्म,तस्मात्+सर्वगतम्+ब्रह्म
सरघा,सरघा
विधेयव्याप्यत्वं परित्यज्यापि,विधेयव्याप्यत्वम्+ परित्यज्य+अपि
पाठस्तथापीहार्थक्रममाश्रित्यान्यथापाठ:,पाठः+तथापि+इहार्थक्रमम्+आश्रित्य+अन्यथापाठ:
बरैल,बर+इल
छुडवाते,छुडवा+ते
क्षेम,क्षेम
"तद्धर्मावच्छिन्नन्वयिताऽवच्छेदकवृत्तिमत्पदजन्योपस्थितिविशिष्टतद्धर्मप्रकारकोपस्थितित्वेनाध्यत्वरूपार्थोपस्थितिः,","तद्धर्मावच्छिन्नन्वयिताऽवच्छेदकवृत्तिमत्पदजन्योपस्थितिविशिष्टतद्धर्मप्रकारकोपस्थितित्वेन+अध्यत्वरूपार्थोपस्थितिः,"
यथाश्रुतं गगनादावतिप्रसक्तमित्यत,यथाश्रुतम्+ गगनादौ+अतिप्रसक्तम्+इति+अतः+
मानश्च,मानः+च
सन्तापजनक,सन्ताप+जनक
कल्पकल्प,कल्प+कल्प
भक्त इव,भक्तः+इव
धर्मपालक,धर्म+पालक
विपक्षविशेषणाच्च,विपक्षविशेषणात्+च
विश्वामित्रश्च,विश्वामित्रः+च
हरजेश्वर,हर+ज+ईश्वर
क्षुब्धोऽपि,क्षुब्धः+अपि
पाट्यक्रम,पाट्य+क्रम
वेसन,वेस्+अन
तादृशाश्च,तादृशाः+च
त्वेकपक्षधर्मविषयत्वेनेति,तु+एकपक्षधर्मविषयत्वेन+इति
रक्तमांस,रक्त+मांस
परिभाष्यो वा,परिभाष्यः+ वा
पणदा,पण+दा
भेदविशिष्टोऽभावः,भेदविशिष्टः+अभावः
अघतन,अघ+तन
अनुक्षणमेव,अनुक्षणम्+एव
तन्निरूपितव्याप्त्यभावोऽ२.प्यप्रसिद्ध एवेत्यत,तन्निरूपितव्याप्त्यभावः+अपि+प्रसिद्धः+ एव+इति+अतः+
कमाण्ड,कमाण्ड
सुखदुःखयोरसाधारणहेतू,सुखदुःखयोः+असाधारणहेतू
पटर,पटर
परकाम्य,पर+काम्य
शून्यमपश्यत्,शून्यम्+अपश्यत्
न्यायवैद्यक,न्याय+वैद्यक
जाग्रोऽविचिण्णल्ङित्सु,जाग्रः+अविचिण्णल्ङित्सु
देवमण्डल,देव+मण्डल
यत्रेत्यादिना,यत्र+इत्यादिना
खुद्,खुद्
सवालपर,सव+आल+पर
मलजखण्ड,मल+ज+खण्ड
डाबुभाभ्यामन्यतरस्याम्‌,डप्+उभाभ्याम्+अन्यतरस्याम्
मिटाेङ्गे,मिटा+ेङ्गे
प्रशंसात्मक,प्र+शंसा+आत्मक
चन्द्रदोष,चन्द्र+दोष
उपकादिभ्योऽन्यतरस्यामद्वंद्वे,उपकादिभ्यः+अन्यतरस्याम्+अद्वन्द्वे
विवक्षणीयेत्यभिप्रायः,विवक्षणीयेति+अभिप्रायः
बन्धुत्व,बन्धु+त्व
मञ्जर,मञ्जर
द्रव्यं बोद्धव्यमित्यादिसंकेताद्,द्रव्यम्+ बोद्धव्यम्+इत्यादिसंकेताद्
जव,जव
निराकर्तुमशक्याः,निराकर्तुम्+अशक्याः
वाशब्दार्थविरोधिभानादिति,वा+अशब्दार्थविरोधिभानात्+इति
उबला,उबल+ा
तात्पर्यबलेनैव,तात्पर्यबलेन+एव
भ्रमणकाल,भ्रमण+काल
विभाषा सुपो बहुच् पुरस्तात्तु,विभाषा+सुपः+बहुच्+पुरस्तात्+तु
शक्तिवादटीकायां माधव्यां,शक्तिवादटीकायाम्+ माधव्याम्+
विधेयताऽवच्छेदकांश इति,विधेयताऽवच्छेदकांशः+ इति
ललचायेङ्गी,ललचा+येङ्गी
परस्यानुमेयप्रतिपत्तिलक्षणं,परस्य+अनुमेयप्रतिपत्तिलक्षणं
छत्रभङ्ग,छत्र+भङ्ग
दीपमय,दीप+मय
लिखाओगी,लिखा+ओगी
एकत्वबोधेच्छया,एकत्वबोध+इच्छया
सहप्रयोगस्येति,सहप्रयोगस्य+इति
सुखञ्च,सुखम्+च
किमर्थमित्याशंक्याऽऽह,किमर्थम्+इत्याशंक्या+आह
सुधरवाऊंगा,सुधरवा+ऊंगा
मच्चरितं,मत्+चरितं
तडपा,तडपा
छुपाता,छुपा+ता
दलित,दल्+त
गुनगुनायेगा,गुन+गुना+येगा
नृत्यशास्त्र,नृत्य+शास्त्र
जन्ममरण,जन्म+मरण
पुरुषेषूपलभ्यते||,पुरुषेषु+उपलभ्यते||
दूरान्तिकार्थेभ्यो द्वितीया च,दूरान्तिकार्थेभ्यः+द्वितीया+च
इत्याकाङ्क्षाज्ञानात्तथाविधशाब्दबोधस्य,इत्याकाङ्क्षाज्ञानात्+तथाविधशाब्दबोधस्य
समानप्रकारकत्वेनापि,समानप्रकारकत्वेन+अपि
धवद्वयखदिरद्वयदेरिति,धवद्वयखदिरद्वयदेः+इति
मेघनाद,मेघ+नाद
नकसीर,नक+सीर
बीतूं,बीत+ूं
ब्राह्मणोऽवदत्,ब्राह्मणः+अवदत्
कर्मत्वं आनयनं,कर्मत्वम्+ आनयनम्+
भविष्यति मर्यादावचनेऽवरस्मिन्,भविष्यति+मर्यादावचने+अवरस्मिन्
प्रकारतायां रूपवृत्तित्वं,प्रकारतायाम्+ रूपवृत्तित्वम्+
हंसलोक,हंस+लोक
रूपमित्यापेक्षाबुद्धि,रूपम्+इति+आपेक्षाबुद्धि
क्रैच,क्रैच
विषहरण,विष+हरण
तत्कल्पनाऽसंभवाच्चेति,तत्कल्पनाऽसंभवात्+च+इति
तद्वद्विशेष्यकत्वं तदाह--तज्ज्ञानस्येति,तद्वद्विशेष्यकत्वम्+ तत्+आह--तज्ज्ञानस्य+इति
ब्रह्मचर्याश्रम,ब्रह्म+चर्या+आश्रम
त्वाप्तोपदेशरूपत्वादागमान्न,तु+आप्तोपदेशरूपत्वात्+आगमात्+न
कर्जमुक्त,कर्ज+मुक्त
सुलवायेंगे,सुलवा+येंगे
सहस्रघट,सहस्र+घट
प्रयोक्तव्यमित्याशयेनाह,प्रयोक्तव्यम्+इति+आशयेन+आह
प्रतियोग्यसामानाधिकरणत्वं प्रतियोगितावच्छेदकावच्छिन्नासामानाधिकरणात्मेव,प्रतियोग्यसामानाधिकरणत्वम्+ प्रतियोगितावच्छेदकावच्छिन्नासामानाधिकरणात्+एव
पुत्रद्वय,पुत्र+द्वय
फैलूंगे,फैल+ूंगे
जहाननगर,जहान+नगर
मिथोऽन्वितयोरेव,मिथः+अन्वितयोः+एव
पक्षत्रयव्यापकत्वमिति,पक्षत्रयव्यापकत्वम्+इति
यत्किञ्चिदपि,यत्+किञ्चित्+अपि
बिकायें,बिका+यें
शब्दरचना,शब्द+रचना
स्वरूपतो भासमानघटत्वस्याऽवच्छिन्नप्रतियोगिताकत्वसंबन्धेनाभावेऽन्वयाभ्युपगमात्तत्संसर्गताया,स्वरूपतः+ भासमानघटत्वस्य+अवच्छिन्नप्रतियोगिताकत्वसम्बन्धेन+अभावे+अन्वयाभ्युपगमात्+तत्संसर्गतायाः+
कपटपूर्वक,कपट+पूर्वक
एवं चेति,एवम्+ चेति
कार्यतावाचकमिति,कार्यतावाचकम्+इति
तमतमाओगे,तम+तमा+ओगे
आंवला,आंवला
विषयताविशिष्टोपस्थितिविषयता--स्वविशिष्टान्यविशेष्यतानिरूपितप्रकारताप्रयोजकत्वाभाववतीत्यत्रोक्तव्युत्पत्तेस्तात्पर्यात्,विषयताविशिष्टोपस्थितिविषयता--स्वविशिष्टान्यविशेष्यतानिरूपितप्रकारताप्रयोजकत्वाभाववति+इत्यत्र+उक्तव्युत्पत्तेः+तात्पर्यात्
प्रसंगो दुर्वार,प्रसंगः+दुर्वार
स निजं,सः+निजं
भक्तन,भक्तन
जातिर्ब्राह्मणत्वादिः,जातिः+ब्राह्मणत्वादिः
भूतत्व,भूत+त्व
जयदत्त,जय+दत्त
रीव्,रीव्
लपटी,लपट+ई
विशेषानन्तर्भूतत्वनियमादित्यत आह---वस्तुत,विशेषानन्तर्भूतत्वनियमात्+इति+अतः+ आह---वस्तुतः+
एक्टर्नल,एक्टर्नल
इसकी,इस+की
बिकाते,बिका+ते
टकराऊंगा,टकरा+ऊंगा
विभाषाऽऽख्यानपरिप्रश्नयोरिञ् च,विभाषा+आख्यानपरिप्रश्नयोः+इञ्+च
उक्तरीत्याअविवक्षितातिरिक्तगतिविरहेणेत्यर्थः,उक्तरीत्याअविवक्षितातिरिक्तगतिविरहेण+इत्यर्थः
त्वगादीनामिति,त्वगादीनाम्+इति
वाक्यं तद्,वाक्यम्+तद्
पृथगेव,पृथक्+एव
मरहरा,मर+हरा
ग्रहणशील,ग्रहण+शील
कलेश्वर,कला+ईश्वर
दुःखात्यन्तनिवृत्ति,दुःख+अत्यन्तनिवृत्ति
प्रकृत्यर्थतावच्छेदकं-व्रीहिरित्यात्वं-,प्रकृत्यर्थतावच्छेदकम्+-व्रीहित्वम्+-
अच्युतश्च,अच्युतः+च
लोकसम्मत,लोक+सम्मत
व्याप्तिनिश्चायकाविति,व्याप्तिनिश्चायकौ+इति
घटत्वादिप्रकारकज्ञानस्यैव,घटत्वादिप्रकारकज्ञानस्य+एव
प्रतीक्षा,प्रति+ईक्षा
सरमेश्वर,सरमा+ईश्वर
खनखनायेंगी,खन+खना+येंगी
साधारणधर्मेऽतिव्याप्तिः,साधारणधर्मे+अतिव्याप्तिः
गिरटन,गिः+अटन
लक्षणायां तु,लक्षणायाम्+ तु
सिसक,सिस+क
जयप्रताप,जय+प्र+ताप
शक्तिर्निपुणतालोककाव्यशास्त्राद्यवेक्षणात्,शक्तिः+निपुणतालोककाव्यशास्त्राद्यवेक्षणात्
विशेषस्याश्रवणादिति,विशेषस्य+आश्रवणात्+इति
लभ,लभ
हार्टबर्न,हार्टबर्न
मतविशेष इत्यग्रिमेणान्वयः,मतविशेषः+ इत्यग्रिमेणान्वयः
चरमरानी,चरमरा+नी
सिलवाओगी,सिलवा+ओगी
चराना,चरा+ना
तन्नियमो व्याप्तिः,तन्नियमः+ व्याप्तिः
पक्षधर्मत्वमस्ति,पक्षधर्मत्वम्+अस्ति
सर्पसूक्त,सर्प+सूक्त
नातिदूर,न+अतिदूर
एवञ्च,एवम्+च
निश्चयाभावानिवेशेपि,निश्चयाभावानिवेशे+अपि
एवं ततोऽल्पानां,एवम्+ ततः+अल्पानाम्+
इन्द्रियसंयोगादिरिति,इन्द्रियसंयोगादिः+इति
भूटिया,भूटिया
रमदास,रम+दास
लालरङ्ग,लाल+रङ्ग
निपातातिरिक्तनामार्थयोस्तादृशनामार्थधात्वर्थयोश्चाऽभेदेनैवान्वयबोधो भवतीति,निपातातिरिक्तनामार्थयोः+तादृशनामार्थधात्वर्थयोः+च+अभेदेन+एवान्वयबोधः+ भवति+इति
मयैवं,मया+एवं
खतम,खतम
धनमान,धन+मान
रुकनी,रुक+नी
द्रवीकरण,द्रवी+कर्+अन
सदला,सत्+अला
भगैत,भग+इत
कुर्वन्नपि,कुर्वन्+अपि
श्रियम,श्रि+यम
ब्राह्मण इत्यादौ,ब्राह्मणः+ इत्यादौ
रजनीत,रजनी+इत
भवती,भवती
द्वेष्योsस्ति,द्वेष्यः+अस्ति
लदवाओगे,लदवा+ओगे
सुन्दरचैत्रवांश्चैत्र इत्यादिबोधस्य,सुन्दरचैत्रवान्+चैत्रः+ इत्यादिबोधस्य
सत्वात्तादृशविभक्त्यभाववद्विभक्तिप्रकृतित्वस्य,सत्वात्+तादृशविभक्ति+अभाववत्+विभक्तिप्रकृतित्वस्य
मकरैड,मकर+एड
नालसर,नाल+सर
किञ्चिन्निमित्तं सहस्राक्षत्वं,किञ्चित्+निमित्तम्+ सहस्राक्षत्वम्+
बढवाती,बढवा+ती
संसर्गतायां सत्वात्,संसर्गतायाम्+ सत्वात्
दबेगा,दब+ेगा
कवीन,कवि+इन
सद्भावा(तत्संभवा)दिति,सद्भावा(तत्संभवा)त्+इति
सर्वसत्तात्मक,सर्व+सत्ता+आत्मक
आख्यातार्थविशेषणतयोपस्थितस्य,आख्यातार्थविशेषणतया+उपस्थितस्य
सत्यपि,सति+आपि
कर्मण्यविद्वांसो यथा,कर्मणि+अविद्वांसः+यथा
पदस्फोटो निराकृतस्ततो,पदस्फोटः+ निराकृतः+ततः+
बलदीप,बल+दीप
धनसत्व,धन+सत्व
अल्पमेव,अल्पम्+एव
भिजाइये,भिजा+इये
प्रकारो यः,प्रकारः+ यः
कारणमिदम्,कारणम्+इदम्
संख्यायामेवेति,संख्यायाम्+एवेति
किं वासुदेवः,किम्+वासुदेवः
मिथक,मिथक
बन्धुजन,बन्धु+जन
समकलीन,समक+लीन
गमयत इति,गमयतः+ इति
"""प्रत्येकं नानाव्रीहिषु""","""प्रत्येकम्+ नानाव्रीहिषु"""
प्रतीश,प्रति+ईश
सन्मार,सत्+मार
सञ्जयधर,सञ्जय+धर
उभयत्वावच्छिन्ननिरूपकतानिरूपिताधेयत्वं चेत्यर्थः,उभयत्वावच्छिन्ननिरूपकतानिरूपिताधेयत्वम्+ च+इत्यर्थः
नाटकमेकं,नाटकम्+एकं
लक्षणाऽनधीनत्वादिति,लक्षणाऽनधीनत्वात्+इति
पूर्ण,पूर्ण
वसन्ताच्च,वसन्तात्+च
जाँचेंगी,जाँच+ेंगी
पिघलेगी,पिघल+ेगी
लीटर,लीटर
सलभ,सल+भ
इदमप्यस्मदुक्ततत्पदस्थलीयदिशा,इदम्+अपि+अस्मत्+उक्ततत्पदस्थलीयदिशा
पुस्तकं दृष्ट्वा,पुस्तकम्+दृष्ट्वा
स्फटिक इति,स्फटिकः+इति
वेत्युल्लेखे,वा+इत्युल्लेखे
डॅली,डॅली
संख्यायां संख्येये,संख्यायाम्+ संख्येये
ज्ञानञ्च,ज्ञानम्+च
श्रोत्रं वा,श्रोत्रम्+वा
सत्वादभेदसंसर्गकघटत्वावच्छिन्नप्रकारतानिरूपितघटत्वावच्छिन्नविशेष्यताशालिशाब्दबोधापत्तिरिति,सत्वात्+अभेदसंसर्गकघटत्वावच्छिन्नप्रकारतानिरूपितघटत्वावच्छिन्नविशेष्यताशालिशाब्दबोधापत्तिः+इति
मनोरम,मनो+रम
क्षणिकत्वमभ्युपगतं,क्षणिकत्वम्+अभ्युपगतं
प्रमाणन्तु,प्रमाणम्+तु
भटनगर,भट+नगर
नायं सर्वज्ञो,न+अयम्+ सर्वज्ञः+
अनुमतिरपि,अनुमतिः+अपि
हरफली,हर+फली
ये चाभावकर्मणोः,ये+च+अभावकर्मणोः
प्रदर्शनकरी,प्रदर्शन+करी
नेत्र,नेत्र
नितरामेवागतिरिति,नितराम्+एव+अगतिः+इति
चेन्नैवम्,चेत्+न+एवम्
बडबडाकर,बड+बडा+कर
"क्षतिविरह इति,","क्षतिविरहः+ इति,"
तण्डुलविशेष्यकाख्यातार्थैकत्वप्रकारकान्वयबोधसामग्र्याः,तण्डुलविशेष्यकाख्यातार्थ+एकत्वप्रकारकान्वयबोधसामग्र्याः
लोमविशेष्यकेतरान्वयबोधवारणेऽपि,लोमविशेष्यकेतरान्वयबोधवारणे+अपि
दलगांव,दल+गांव
नरिमन,नरिमन
शिवशरण,शिव+शरण
तद्वारणाय,तत्+वारणाय
सूर्यनगर,सूर्य+नगर
चोष्णत्वस्य,च+उष्णत्वस्य
बसाने,बसा+ने
शाब्दज्ञानेऽपि,शाब्दज्ञाने+अपि
गानेवाला,गाने+वाला
प्रतिबन्धकत्वोपगमादिति,प्रतिबन्धकत्वोपगमात्+इति
चातुर्मास्यं चकार,चातुर्मास्यम्+चकार
शाहगज,शाह+गज
वकेत,वक+इत
जैनसेन,जैन+सेन
यशोधम,यशः+धम
घटत्वस्याभावे,घटत्वस्य+अभावे
लदेंगे,लद+ेंगे
लहलहाना,लह+लहा+ना
युजर्स,युजर्स
वतण्डाच्च,वतण्डात्+च
फलक,फलक
प्रकृत्यर्थतावच्छेदकसंख्यायामेवेति,प्रकृत्यर्थतावच्छेदकसंख्यायाम्+एवेति
छात्रदर्शन,दर्श+अन
कति,कति
सञ्जायेंगे,सञ्जा+येंगे
रगडे,रगड+ए
भरवाना,भरवा+ना
समान्तरता,समान्तर+ता
मुडायेंगी,मुडा+येंगी
योऽत्र,यः+अत्र
अतो भिस ऐस्,अतः+भिस+ऐस्
इदानीमयं क्षण,इदानीम्+अयम्+ क्षणः+
बोधकत्वं प्रत्ययानामिति,बोधकत्वम्+ प्रत्ययानाम्+इति
यदिदमन्यदुच्यते,यत्+इदम्+अन्यत्+उच्यते
स्थानिक,स्थानिक
युगपच्छब्दानां ग्रहणप्रसंगं,युगपत्+शब्दानाम्+ ग्रहणप्रसंगम्+
हस्तकरघे,हस्त+कर+घे
जेडप्लस,जेड+प्लस
स्वर्णमय,स्वर्ण+मय
नन्वबाधितत्वात्स्वलक्षणवत्सामान्यं,ननु+अबाधितत्वात्+स्वलक्षणवत्+सामान्यं
मन्दमन्द,मन्द+मन्द
उपयुक्त,उप+युक्त
गयाशव,गया+शव
नन्वनुमितावुपनीतभाने,ननु+अनुमितौ+उपनीतभाने
भरतखण्डे,भरत+खण्डे
यद्वाऽवच्छेदकत्वनिरूपितावच्छेद्यत्वसम्बन्धावच्छिन्नसमवायप्रकारतानिरूपितेच्छीयविशेष्यताऽऽत्मना,यत्+वा+अवच्छेदकत्वनिरूपितावच्छेद्यत्वसम्बन्धावच्छिन्नसमवायप्रकारतानिरूपितेच्छीयविशेष्यता+आत्मना
बैकफुट,बैक+फुट
साम्प्रदायिक इति,साम्प्रदायिकः+ इति
मणिकन्दन,मणि+कन्दन
वाक्यं गवोपमानेन,वाक्यम्+ गवोपमानेन
आकाङ्क्षाप्रयोज्यत्वाभावात्तदसंग्रहः,आकाङ्क्षाप्रयोज्यत्वाभावात्तत्+असंग्रहः
तयोऽरपि,तयोः+अपि
बॉयें,बॉयें
योग्यतायास्तथाप्यनुद्धार,योग्यतायाः+तथापि+अनुद्धार
यदेवंविधं साध्यं,यत्+एवम्+विधम्+ साध्यम्+
धूमसामान्यस्याग्निसामान्येन,धूमसामान्यस्य+अग्निसामान्येन
चन्द्राविति,चन्द्रौ+इति
कदापि,कदा+अपि
तदसंग्राह्यमेवेत्यत आह---साध्येति,तदसंग्राह्यम्+एव+इति+अतः+ आह---साध्य+इति
तेषां यौगपद्यं,तेषाम्+ यौगपद्यम्+
पञ्चतन्त्र,पञ्च+तन्त्र
हिली,हिल+ी
साधुत्वादेव,साधुत्वात्+एव
प्रतियोगिताविशिष्टभेदवत्वं प्रतियोगिताविशिष्टघटोभयभेदवत्वमपि,प्रतियोगिताविशिष्टभेदवत्वम्+ प्रतियोगिताविशिष्टघटोभयभेदवत्वम्+अपि
एकदाऽऽपन्नसत्त्वा,एकदा+आपन्नसत्त्वा
स्वस्त्यस्तु,स्वस्ति+अस्तु
हतिदर,हति+दर
खरत,ख+रत
शोकसन्तप्त,शोक+सन्तप्त
लवङ्गी,लवङ्गी
समझाऊंगा,समझा+ऊंगा
विरोधो भेदः,विरोधः+भेदः
जटवाल,जट+वाल
स्वतस्त्वं च,स्वतस्त्वम्+ च
करमकर,कर+मकर
नास्माकमतिरिक्तकल्पनेति,न+अस्माकम्+अतिरिक्तकल्पना+इति
अधिकृतोऽसि,अधिकृतः+असि
फोडती,फोड+ती
टकराऊं,टकरा+ऊं
तद्घटितसमुदायस्यापि,तद्घटितसमुदायस्य+अपि
परपत,पर+पत
चामर,चामर
तावतिथं ग्रहणमिति लुग्वा,तावतिथम्+ग्रहणम्+इति+लुक्+वा
लाकृतिः,ऌ+आकृतिः
एक्सल,एक्सल
हेतोराभासतेत्यत आह---तादृशेति,हेतोः+आभासत+इति+अतः+ आह---तादृश+इति
खल्वस्य,खलु+अस्य
विभक्तित्वज्ञानविरहेपि,विभक्तित्वज्ञानविरहे+अपि
वाथ,वा+अथ
विशब्दो विरुद्धवचनः,विशब्दः+ विरुद्धवचनः
रेखचन्द,रेख+चन्द
अग्निव्याप्तो धूमोऽस्तीति,अग्निव्याप्तः+ धूमः+अस्ति+इति
कवारग,कव+आर+ग
झाडन,झाड+अन
केवलमधुना,केवलम्+अधुना
सङ्गरूर,सङ्गरूर
भ्रान्त एवमशरीरमिति,भ्रान्तः+ एवम्+अशरीरम्+इति
यत्त्वित्यादिना,यत्+तु+इत्यादिना
वह्निमत्त्वस्यैव,वह्निमत्त्वस्य+एव
किं न,किम्+ न
बदलवायेंगी,बदलवा+येंगी
टैगिङ्ग,टैगिङ्ग
कैवर्तोऽपि,कैवर्तः+अपि
रशीद,रशीद
मखतूल,मख+तूल
सहते,सह+ते
मुण्डाओगे,मुण्डा+ओगे
भागभद्र,भाग+भद्र
यमगर,यम+गर
जटि,जटि
जतलायेङ्गी,जतला+येङ्गी
उज्जयिनी,उज्जयिनी
उत्तराधरदक्षिणादातिः,उत्तराधरदक्षिणात्+आतिः
चलभाष,चल+भाष
सूत्रं गतिबुद्धेति,सूत्रम्+ गतिबुद्धेति
जागेगी,जाग+ेगी
"तादृशार्थबोधकतामनुमाय,","तादृशार्थबोधकताम्+अनुमाय,"
प्रत्यक्ष,प्रति+अक्ष
संशयोपाय इति,संशयोपायः+ इति
सांवृतसत्यत्वेऽपि,सांवृतसत्यत्वे+अपि
भेदाभावस्यापि,भेदाभावस्य+अपि
क्रोष्टा,क्रुश्+ता
ठहरवाइये,ठहरवा+इये
स्वजनकादृष्टाद्वारकत्वं स्मर्तव्यम्,स्वजनकादृष्टाद्वारकत्वम्+ स्मर्तव्यम्
गोहत,गो+हत
इत्यत आह,इति+अतः+आह
तत्रैवेदानीं,तत्र+एव+इदानीं
कक्कड,कक्कड
मुकुरबिम्बं किमु,मुकुरबिम्बम्+ किमु
खटकरम,खटक+रम
व्यभिचारादीति,व्यभिचारादि+इति
प्राज्ञो न,प्राज्ञः+न
नीलोघटइत्यादौ,नीलः+घटइत्यादौ
बुद्धिरुत्पद्यते',बुद्धिः+उत्पद्यते'
ग्रहणशक्ति,ग्रहण+शक्ति
धर्मस्वरूप,धर्म+स्व+रूप
कर्मत्वमुपपन्नमित्याह,कर्मत्वमुपपन्नम्+इति+आह
फिलवक्त,फिलवक्त
अव्ययीभावाच्च,अव्ययीभावात्+च
वरेरकर,वर+ईर+कर
हीत्यादिलक्षणसद्भावात्,हि+इत्यादिलक्षणसद्भावात्
छुऊङ्गी,छु+ऊङ्गी
भीडतन्त्र,भीड+तन्त्र
आह---तद्धर्मेति,आह---तद्धर्म+इति
"ज्ञानादेरभावाद्वयतिरेकव्यभिचारः,","ज्ञानादेः+अभावात्+व्यतिरेकव्यभिचारः,"
विशिष्यानुमानेऽपि,विशिष्यानुमाने+अपि
वृषाकपिश्च,वृषाकपिः+च
प्रपोजल,प्रपोजल
निभायी,निभा+यी
तिप्पदज्ञानजन्योपस्थित्यनुत्तरशाब्दबोधे,तिप्+पदज्ञानजन्योपस्थित्यनुत्तरशाब्दबोधे
पाचक,पच्+अक
एवमुक्तनवविधबाधव्याप्यसंसर्गतावादिमतसिद्धेकैकबाधविषयकनिश्चयो बोध्यः,एवम्+उक्तनवविधबाधव्याप्यसंसर्गतावादिमतसिद्धेक+एकबाधविषयकनिश्चयः+ बोध्यः
स्वातन्त्र्यसमर,स्वातन्त्र्य+समर
अगम्य,अगम्य
चाभ्युक्ष्य,च+अभ्युक्ष्य
प्रायो दूष्यते,प्रायः+दूष्यते
आश्रयतासम्बन्धावच्छिन्नतन्निरूपितविशेष्यत्वं घटे,आश्रयतासम्बन्धावच्छिन्नतत्+निरूपितविशेष्यत्वम्+ घटे
भासर,भा+सर
लगाऊं,लगा+ऊं
चात्मना,च+आत्मना
वस्त्रकार,वस्त्र+कार
नवघटा,नव+घटा
जयसेन,जय+सेन
दरसपरस,दर+सप+रस
गयासमय,गया+समय
"अभेदसंसर्गस्यासंग्रहः,","अभेदसंसर्गस्य+असंग्रहः,"
कथं पराङ्मुखः,कथम्+पराङ्मुखः
बांधिये,बांध+िये
थपथपाया,थपथपा+या
प्रभासश्च,प्रभासः+च
